date,facet,party,value,lower,upper
2020-02-29,2,ukip,0.012864637,0.009981758,0.016512663
2020-03-02,1,con,0.486063849,0.460190734,0.514500617
2020-03-02,1,lab,0.306465621,0.283075718,0.327779469
2020-03-02,2,lib,0.088861533,0.078786402,0.100091179
2020-03-02,2,green,0.040318725,0.034421555,0.047197126
2020-03-02,2,ukip,0.012544726,0.009729422,0.016085142
2020-03-03,1,con,0.487439778,0.461688476,0.515843933
2020-03-03,1,lab,0.306272812,0.282812338,0.327889446
2020-03-03,2,lib,0.088312146,0.0783081,0.09942295
2020-03-03,2,green,0.040138579,0.034268663,0.046915126
2020-03-03,2,ukip,0.012228198,0.009476786,0.015671146
2020-03-05,1,con,0.48898737,0.463245004,0.516618024
2020-03-05,1,lab,0.306161128,0.282672971,0.327617124
2020-03-05,2,lib,0.087754568,0.077814883,0.098673146
2020-03-05,2,green,0.039962138,0.034091176,0.046631824
2020-03-05,2,ukip,0.01192144,0.009206298,0.015289257
2020-03-06,1,con,0.49051213,0.464850032,0.518382317
2020-03-06,1,lab,0.305885272,0.282582677,0.327200812
2020-03-06,2,lib,0.087219229,0.077400006,0.097968069
2020-03-06,2,green,0.039751605,0.033977794,0.046397444
2020-03-06,2,ukip,0.011652762,0.008977671,0.014886388
2020-03-08,1,con,0.492057609,0.466504617,0.519650217
2020-03-08,1,lab,0.305759875,0.28240912,0.327079985
2020-03-08,2,lib,0.086646782,0.07689881,0.097253692
2020-03-08,2,green,0.039577956,0.033866377,0.046228091
2020-03-08,2,ukip,0.011372743,0.008779638,0.014521614
2020-03-09,1,con,0.493546323,0.467832026,0.52109576
2020-03-09,1,lab,0.305589305,0.282164585,0.327006907
2020-03-09,2,lib,0.086080598,0.076287468,0.096640621
2020-03-09,2,green,0.039388256,0.033677884,0.04600987
2020-03-09,2,ukip,0.011104383,0.008570685,0.014206179
2020-03-11,1,con,0.494939107,0.469259085,0.522405812
2020-03-11,1,lab,0.305489958,0.282222541,0.326563791
2020-03-11,2,lib,0.085471731,0.075659532,0.095935393
2020-03-11,2,green,0.039189638,0.03346979,0.045766621
2020-03-11,2,ukip,0.010846192,0.008331554,0.013893301
2020-03-12,1,con,0.496199844,0.470660207,0.523981466
2020-03-12,1,lab,0.305173471,0.281935208,0.32650813
2020-03-12,2,lib,0.084953531,0.075110056,0.095072641
2020-03-12,2,green,0.039001691,0.033276459,0.045468177
2020-03-12,2,ukip,0.010606862,0.008160018,0.013588429
2020-03-14,1,con,0.497504447,0.472282078,0.52509073
2020-03-14,1,lab,0.304919788,0.281695616,0.326073471
2020-03-14,2,lib,0.084409334,0.074671745,0.094518599
2020-03-14,2,green,0.038839125,0.033093593,0.045169228
2020-03-14,2,ukip,0.010386246,0.007968525,0.013267569
2020-03-15,1,con,0.498901719,0.473830656,0.526344006
2020-03-15,1,lab,0.304857645,0.281429596,0.326021289
2020-03-15,2,lib,0.083844857,0.074258766,0.093850686
2020-03-15,2,green,0.038669131,0.032975506,0.044921251
2020-03-15,2,ukip,0.010147032,0.007787115,0.012959215
2020-03-17,1,con,0.50012946,0.474878625,0.527517438
2020-03-17,1,lab,0.304638407,0.281276179,0.325833485
2020-03-17,2,lib,0.08327904,0.073685325,0.093167311
2020-03-17,2,green,0.038482843,0.032844978,0.044714038
2020-03-17,2,ukip,0.009933455,0.007608853,0.012705235
2020-03-18,1,con,0.501226342,0.47614497,0.528484197
2020-03-18,1,lab,0.304517493,0.281475868,0.325511673
2020-03-18,2,lib,0.082755126,0.073255043,0.092483471
2020-03-18,2,green,0.038341552,0.032671208,0.044546759
2020-03-18,2,ukip,0.00974417,0.007458421,0.012493101
2020-03-20,1,con,0.502449619,0.477195191,0.529515957
2020-03-20,1,lab,0.30451662,0.281444498,0.325355815
2020-03-20,2,lib,0.082240708,0.07289383,0.091900547
2020-03-20,2,green,0.038189974,0.032531162,0.044425525
2020-03-20,2,ukip,0.00955799,0.007321465,0.012270732
2020-03-22,1,con,0.50352713,0.478040904,0.530453125
2020-03-22,1,lab,0.304442525,0.281571693,0.325319655
2020-03-22,2,lib,0.081723568,0.0724598,0.09139376
2020-03-22,2,green,0.038028682,0.032381032,0.044232453
2020-03-22,2,ukip,0.009388968,0.007177425,0.012048523
2020-03-23,1,con,0.504290202,0.478887921,0.531288542
2020-03-23,1,lab,0.304533823,0.281426574,0.325332831
2020-03-23,2,lib,0.081217222,0.071985392,0.090865513
2020-03-23,2,green,0.037878616,0.032240773,0.044162937
2020-03-23,2,ukip,0.009239387,0.007028388,0.011846589
2020-03-25,1,con,0.505035293,0.479610737,0.532285092
2020-03-25,1,lab,0.304611749,0.28148447,0.32556259
2020-03-25,2,lib,0.080743526,0.071530879,0.09012122
2020-03-25,2,green,0.037723562,0.032120502,0.043999598
2020-03-25,2,ukip,0.009093804,0.006908631,0.011701795
2020-03-26,1,con,0.505569834,0.48012318,0.533045747
2020-03-26,1,lab,0.304894242,0.281952829,0.32565277
2020-03-26,2,lib,0.08031786,0.071098801,0.089585608
2020-03-26,2,green,0.037591062,0.031998722,0.043813992
2020-03-26,2,ukip,0.008958803,0.006810599,0.011592049
2020-03-28,1,con,0.506145826,0.480322264,0.533766087
2020-03-28,1,lab,0.305261813,0.282105337,0.325729052
2020-03-28,2,lib,0.079858026,0.070663692,0.088952899
2020-03-28,2,green,0.037466505,0.031928703,0.043643257
2020-03-28,2,ukip,0.008839056,0.006729427,0.011465883
2020-03-29,1,con,0.506525891,0.480588868,0.53394905
2020-03-29,1,lab,0.305534656,0.282488638,0.32627319
2020-03-29,2,lib,0.079410057,0.070314644,0.088528317
2020-03-29,2,green,0.037352257,0.031780508,0.04347111
2020-03-29,2,ukip,0.008730558,0.006639153,0.011367882
2020-03-31,1,con,0.506769047,0.48094816,0.534600269
2020-03-31,1,lab,0.305989917,0.28328401,0.326694407
2020-03-31,2,lib,0.078958422,0.069933209,0.088048031
2020-03-31,2,green,0.037229847,0.031702834,0.043385959
2020-03-31,2,ukip,0.008639766,0.006555307,0.011187988
2020-04-01,1,con,0.506939027,0.48105586,0.534923503
2020-04-01,1,lab,0.306521439,0.28415799,0.327237165
2020-04-01,2,lib,0.078547739,0.069499907,0.087661919
2020-04-01,2,green,0.037116377,0.031683202,0.043288349
2020-04-01,2,ukip,0.008563322,0.006484037,0.011144914
2020-04-03,1,con,0.507065689,0.480965856,0.53523178
2020-04-03,1,lab,0.30703414,0.284845269,0.328176846
